Label,Load (µL),Signal (px),Mass (ng),Conc (ng/µL)
p240A,1.0,8574.551070037336,50.991797438494,50.991797438494
p240A,0.1,1241.5117616523723,7.383117290991883,73.83117290991883
p242A,1.0,9904.522432694454,58.90097306409492,58.90097306409492
p242A,0.1,1542.5179901641857,9.173164199177432,91.73164199177431
p242B,1.0,11555.553083626568,68.71944867050455,68.71944867050455
p242B,0.1,1913.062276182992,11.376745356993089,113.76745356993088
K2,1.0,8579.94921623028,51.02389954797653,51.02389954797653
K2,0.1,1294.64791498227,7.6991114398548985,76.99111439854899
K4,1.0,45070.059743849284,268.0260853573968,268.0260853573968
K4,0.1,7961.241233050812,47.34451949715258,473.4451949715258
T2,1.0,9797.93745490183,58.267125349713744,58.267125349713744
T2,0.1,1358.656038240629,8.079759852692934,80.79759852692933
T4,1.0,46420.24578334724,276.05547517244435,276.05547517244435
T4,0.1,8165.439014516689,48.558858513253696,485.58858513253693
K_cc,1.0,8847.672797423967,52.61601865837997,52.61601865837997
K_cc,0.1,1256.306875735119,7.4711020092849605,74.7110200928496
T_cc,1.0,10038.230493518891,59.696118407304574,59.696118407304574
T_cc,0.1,1365.3409794722513,8.119514373528698,81.19514373528698
