,well,label,slope,intercept,r2
0,A1,blank,-0.029838709677419355,65.54435483870968,0.002484573502722323
1,A2,10.0 U/mL,3.416935483870968,249.19758064516128,0.7918225420298907
2,B1,DNA-blocked DNAzyme,0.9673387096774194,237.16733870967744,0.2431325788811983
3,B2,3.16 U/mL,1.119758064516129,247.71975806451613,0.26206268112593045
4,C1,free DNAzyme,54.69879032258065,430.3568548387095,0.9921620859422186
5,C2,1.0 U/mL,0.883064516129032,248.94758064516128,0.24033180732164897
6,D1,FAM,-90.4391129032258,6407.715725806452,0.8020091411885626
7,D2,0.316 U/mL,0.5637096774193548,263.8024193548387,0.0837839181848112
8,E2,0.1 U/mL,0.6600806451612903,259.1955645161291,0.10379234937967104
9,F2,0.0316 U/mL,0.8588709677419354,252.98790322580646,0.23053353658536582
10,G2,0.01 U/mL,0.8403225806451612,251.9758064516129,0.2320881357091555
11,H2,0.0 U/mL,1.352016129032258,251.17137096774192,0.5046163023260823
